state,Latitude,Longitude,Area per square meter,lf,lf_000s,population_000s,lf_per_population,lf_employed_per_population,lf_sqr_mtr,lf_percent,lf_employed,lf_employed_000s,population_working_class,population_working_class_000s,lf_employed_per_working_population,lf_per_working_population,lf_unemployed,lf_outside,p_rate,u_rate, text_x, text_y
Johor,2.0229012,103.3147721,19210,1856,1856000,4028300,46.07402626,44.98671896,966.2155128,11.21978939,1812.2,1812200,2827.3,2827300,64.09648782,65.64566901,43.7,823.7,69.3,2.4,104.75,3.25
Kedah,5.809826499,100.6715035,9500,1057.3,1057300,2163100,48.87892377,47.27012158,0.111295789,6.391531961,1022.5,1022500,1444.8,1444800,70.77104097,73.17967885,34.8,539.7,66.2,3.3,102.8,4.95
Kelantan,5.402130199,102.0635972,15099,800.7,800700,1830600,43.73975746,41.95345788,0.053030664,4.840347717,768,768000,1168.9,1168900,65.7027975,68.50029943,32.8,505.5,61.3,4.1,103.75,4.9
Melaka,2.3293744,102.2880962,1664,454.2,454200,1008600,45.03271862,43.81320642,0.27296274,2.745704924,441.9,441900,706.7,706700,62.53006934,64.27055328,12.3,222.7,67.1,2.7,103.5,3.5
Negeri Sembilan,2.731895,102.1925319,6686,532,532000,1207900,44.04338107,42.88434473,795.842058,3.216017217,518,518000,820.3,820300,63.14762892,64.85432159,14,259.9,67.2,2.6,103.35,3.68
Pahang,3.6168822,102.5994547,36137,757.2,757200,1614300,46.90577959,45.62349006,0.02095387,4.577383903,736.5,736500,1095.9,1095900,67.20503696,69.09389543,20.7,397.7,65.6,2.7,104.65,4
Perak,4.812181,100.9797908,21035,1122.7,1122700,2514400,44.65081133,43.38211899,0.053373425,6.786884453,1090.8,1090800,1710,1710000,63.78947368,65.65497076,31.9,599.1,65.2,2.8,102.25,4.3
Perlis,6.486839199,100.2577623,821,118.2,118200,289800,40.78674948,39.88957902,0.143982948,0.714536156,115.6,115600,208.9,208900,55.33748205,56.5820967,2.6,62.6,65.4,2.2,102.25,5.1
Pulau Pinang,5.406501299,100.2559077,1048,946.1,946100,1740900,54.3454535,53.0989718,0.902776718,5.719311821,924.4,924400,1275.8,1275800,72.45649788,74.15739144,21.7,371.2,71.8,2.3,101.75,4.6
Sabah,5.425735899,114.5326392,73631,2176.5,2176500,3414900,63.73539489,58.56101204,0.029559696,13.15725841,1999.8,1999800,2357.6,2357600,84.82354937,92.31845945,176.7,907.6,70.6,8.1,112,4.2
Sarawak,2.5023855,110.9547283,124450,1449.8,1449800,2473500,58.61330099,56.81423085,0.011649739,8.76425143,1405.3,1405300,1753.7,1753700,80.13343217,82.67092433,44.5,627.8,69.8,3.1,108.5,4
Selangor,3.5083304,101.304146,6555400,3809.6,3809600,7050300,54.03458009,52.44315845,0.000581141,23.02958494,3697.4,3697400,5008.9,5008900,73.81660644,76.05661922,112.2,1209.9,75.9,2.9,102.5,4
Terengganu,4.8630743,102.9949297,1275100,514.4,514400,1186600,43.35075004,41.46300354,0.000403427,3.109622662,492,492000,781.2,781200,62.98003072,65.84741423,22.4,345.3,59.8,4.3,104.75,4.5
Kuala Lumpur,3.1526589,101.7022205,243,859,859000,1961200,43.79971446,42.40261065,35353.90947,5.192779679,831.6,831600,1457,1457000,57.07618394,58.95676047,27.4,337.2,71.8,3.2,102.5,3.9
Labuan,5.316833599,112.448438,91,49.3,49300,96900,50.87719298,48.50361197,0.541868132,0.298025656,47,47000,65.9,65900,71.32018209,74.81031866,2.2,24.9,66.4,4.5,110.25,4.6
Putrajaya,2.9384381,101.69223,49,39.2,39200,117000,33.5042735,32.99145299,0.800204082,0.23696969,38.6,38600,71.9,71900,53.68567455,54.5201669,0.6,11.3,77.6,1.6,102,3.82
